date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:04	24423/24423	---M--	200	added ('OK')	image/jpeg	etag:%225e6f791b-5f67%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/cart-item.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/cart-item.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/cart.html)
14:00:05	121932/121932	---M--	200	added ('OK')	image/jpeg	etag:%225e6f7915-1dc4c%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/blog1.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/blog1.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/blog.html)
14:00:05	60290/60290	---M--	200	added ('OK')	image/jpeg	etag:%225e6f7917-eb82%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/blog2.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/blog2.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/blog.html)
14:00:05	14784/14784	---M--	200	added ('OK')	image/jpeg	etag:%225e6f78fd-39c0%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/blog-avatar2.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/blog-avatar2.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/post.html)
14:00:05	16917/16917	---M--	200	added ('OK')	image/jpeg	etag:%225e6f78fc-4215%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/blog-avatar.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/blog-avatar.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/post.html)
14:00:06	14268/14268	---M-Z	200	added ('OK')	text/css	etag:%225eb03ed0-37bc%22	https://cdnjs.cloudflare.com/ajax/libs/leaflet/1.5.1/leaflet.css	C:/My%20Web%20Sites/hopeless/cdnjs.cloudflare.com/ajax/libs/leaflet/1.5.1/leaflet.css	(from https://demo.bootstrapious.com/photo/1-5-0/contact.html)
14:00:07	141790/141790	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ed0-229de%22	https://cdnjs.cloudflare.com/ajax/libs/leaflet/1.5.1/leaflet.js	C:/My%20Web%20Sites/hopeless/cdnjs.cloudflare.com/ajax/libs/leaflet/1.5.1/leaflet.js	(from https://demo.bootstrapious.com/photo/1-5-0/contact.html)
14:00:07	696/696	---M-Z	200	added ('OK')	image/png	etag:%225eb03ed0-2b8%22	https://cdnjs.cloudflare.com/ajax/libs/leaflet/1.5.1/images/layers.png	C:/My%20Web%20Sites/hopeless/cdnjs.cloudflare.com/ajax/libs/leaflet/1.5.1/images/layers.png	(from https://cdnjs.cloudflare.com/ajax/libs/leaflet/1.5.1/leaflet.css)
14:00:07	1259/1259	---M-Z	200	added ('OK')	image/png	etag:%225eb03ed0-4eb%22	https://cdnjs.cloudflare.com/ajax/libs/leaflet/1.5.1/images/layers-2x.png	C:/My%20Web%20Sites/hopeless/cdnjs.cloudflare.com/ajax/libs/leaflet/1.5.1/images/layers-2x.png	(from https://cdnjs.cloudflare.com/ajax/libs/leaflet/1.5.1/leaflet.css)
14:00:07	1466/1466	---M-Z	200	added ('OK')	image/png	etag:%225eb03ed0-5ba%22	https://cdnjs.cloudflare.com/ajax/libs/leaflet/1.5.1/images/marker-icon.png	C:/My%20Web%20Sites/hopeless/cdnjs.cloudflare.com/ajax/libs/leaflet/1.5.1/images/marker-icon.png	(from https://cdnjs.cloudflare.com/ajax/libs/leaflet/1.5.1/leaflet.css)
